(0.10, 0.06, 0.99)
(0.09, 0.06, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.09, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.08, 1.00)
(0.06, 0.08, 1.00)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.06, 0.08, 1.00)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.06, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.09, 0.09, 0.99)
(0.09, 0.11, 0.99)
(0.09, 0.11, 0.99)
(0.09, 0.13, 0.99)
(0.08, 0.13, 0.99)
(0.09, 0.12, 0.99)
(0.09, 0.12, 0.99)
(0.09, 0.11, 0.99)
(0.10, 0.12, 0.99)
(0.10, 0.12, 0.99)
(0.10, 0.12, 0.99)
(0.10, 0.11, 0.99)
(0.10, 0.11, 0.99)
(0.10, 0.11, 0.99)
(0.10, 0.11, 0.99)
(0.10, 0.11, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.10, 0.99)
(0.10, 0.09, 0.99)
(0.10, 0.09, 0.99)
(0.10, 0.09, 0.99)
(0.10, 0.08, 0.99)
(0.10, 0.08, 0.99)
(0.10, 0.08, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.07, 0.99)
(0.10, 0.06, 0.99)
(0.10, 0.06, 0.99)
(0.10, 0.06, 0.99)
(0.09, 0.05, 0.99)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.04, 1.00)
(0.09, 0.06, 0.99)
(0.10, 0.08, 0.99)
(0.11, 0.09, 0.99)
(0.11, 0.08, 0.99)
(0.05, -0.04, 1.00)
(0.06, -0.01, 1.00)
(0.10, -0.05, 0.99)
(0.08, 0.04, 1.00)
(0.09, 0.03, 1.00)
(0.09, 0.09, 0.99)
(0.10, 0.10, 0.99)
(0.09, 0.09, 0.99)
(0.09, 0.09, 0.99)
(0.08, 0.10, 0.99)
(0.09, 0.10, 0.99)
(0.09, 0.10, 0.99)
(0.09, 0.10, 0.99)
(0.09, 0.10, 0.99)
(0.09, 0.09, 0.99)
(0.09, 0.09, 0.99)
(0.09, 0.09, 0.99)
(0.10, 0.09, 0.99)
(0.10, 0.09, 0.99)
(0.10, 0.10, 0.99)
(0.09, 0.09, 0.99)
(0.09, 0.08, 0.99)
(0.09, 0.09, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.06, 0.99)
(0.09, 0.06, 0.99)
(0.09, 0.05, 0.99)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.04, 1.00)
(0.09, 0.04, 1.00)
(0.09, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.09, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.09, 0.03, 1.00)
(0.08, 0.02, 1.00)
(0.06, 0.04, 1.00)
(0.06, 0.06, 1.00)
(0.08, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.08, 0.06, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.06, 1.00)
(0.06, 0.05, 1.00)
(0.06, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.06, 0.05, 1.00)
(0.06, 0.05, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.06, 0.04, 1.00)
(0.06, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.06, 0.04, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.02, 1.00)
(0.08, 0.02, 1.00)
(0.07, 0.01, 1.00)
(0.06, 0.01, 1.00)
(0.06, 0.00, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.03, 1.00)
(0.09, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.08, 0.02, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.01, 1.00)
(0.08, 0.02, 1.00)
(0.08, 0.02, 1.00)
(0.08, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.01, 1.00)
(0.08, 0.01, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.09, 0.00, 1.00)
(0.09, 0.00, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.08, 0.01, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.08, 0.00, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.08, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.04, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.06, 1.00)
(0.08, 0.06, 1.00)
(0.08, 0.06, 1.00)
(0.08, 0.06, 0.99)
(0.08, 0.07, 0.99)
(0.08, 0.07, 0.99)
(0.09, 0.06, 0.99)
(0.09, 0.04, 1.00)
(0.08, 0.05, 1.00)
(0.08, 0.04, 1.00)
(0.09, 0.05, 0.99)
(0.09, 0.05, 0.99)
(0.09, 0.04, 1.00)
(0.08, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.08, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.08, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.05, 1.00)
(0.08, 0.06, 1.00)
(0.08, 0.06, 1.00)
(0.08, 0.07, 0.99)
(0.08, 0.03, 1.00)
(0.08, 0.04, 1.00)
(0.08, 0.01, 1.00)
(0.09, -0.11, 0.99)
(0.09, -0.12, 0.99)
(0.09, -0.13, 0.99)
(0.04, -0.02, 1.00)
(0.06, -0.04, 1.00)
(0.07, -0.03, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.07, 0.03, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.02, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.07, 1.00)
(0.08, 0.07, 0.99)
(0.08, 0.07, 0.99)
(0.07, 0.06, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.00, 1.00)
(0.06, -0.06, 1.00)
(0.08, -0.05, 1.00)
(0.06, -0.02, 1.00)
(0.05, -0.15, 0.99)
(0.06, -0.11, 0.99)
(0.07, -0.10, 0.99)
(0.08, -0.07, 0.99)
(0.07, -0.10, 0.99)
(0.07, -0.08, 0.99)
(0.07, -0.04, 1.00)
(0.07, -0.05, 1.00)
(0.07, -0.05, 1.00)
(0.06, -0.02, 1.00)
(0.06, -0.02, 1.00)
(0.07, -0.04, 1.00)
(0.06, -0.01, 1.00)
(0.07, -0.02, 1.00)
(0.06, -0.02, 1.00)
(0.07, -0.02, 1.00)
(0.07, -0.01, 1.00)
(0.06, -0.02, 1.00)
(0.06, -0.01, 1.00)
(0.06, -0.02, 1.00)
(0.06, -0.01, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.06, 0.00, 1.00)
(0.06, 0.01, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.06, 0.01, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.00, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.01, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.02, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.05, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.06, 0.03, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.06, 0.04, 1.00)
(0.06, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.04, 1.00)
(0.07, 0.03, 1.00)
(0.07, 0.02, 1.00)
(0.05, 0.02, 1.00)
(0.06, -0.04, 1.00)
(0.06, -0.14, 0.99)
(0.09, -0.16, 0.98)
(0.05, -0.13, 0.99)
(0.06, -0.06, 1.00)
(0.02, -0.02, 1.00)
(0.05, 0.03, 1.00)
(0.06, 0.04, 1.00)
(0.05, 0.05, 1.00)
(0.06, 0.06, 1.00)
(0.05, 0.08, 1.00)
(0.05, 0.09, 0.99)
(0.06, 0.11, 0.99)
(0.06, 0.06, 1.00)
(0.05, 0.08, 1.00)
(0.05, 0.08, 1.00)
(0.05, 0.06, 1.00)
(0.06, 0.07, 1.00)
(0.05, 0.07, 1.00)
(0.06, 0.08, 1.00)
(0.06, 0.08, 1.00)
(0.06, 0.08, 1.00)
(0.06, 0.06, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.06, 0.08, 0.99)
(0.06, 0.10, 0.99)
(0.06, 0.09, 0.99)
(0.06, 0.08, 0.99)
(0.06, 0.09, 0.99)
(0.06, 0.09, 0.99)
(0.06, 0.09, 0.99)
(0.06, 0.09, 0.99)
(0.06, 0.08, 0.99)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.09, 0.10, 0.99)
(0.09, 0.11, 0.99)
(0.08, 0.10, 0.99)
(0.07, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.09, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.09, 0.11, 0.99)
(0.09, 0.11, 0.99)
(0.09, 0.11, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.10, 0.99)
(0.09, 0.10, 0.99)
(0.08, 0.09, 0.99)
(0.09, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.13, 0.99)
(0.08, 0.13, 0.99)
(0.08, 0.13, 0.99)
(0.08, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.13, 0.99)
(0.09, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.07, 0.11, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.09, 0.12, 0.99)
(0.09, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.13, 0.99)
(0.07, 0.15, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.16, 0.98)
(0.06, 0.14, 0.99)
(0.07, 0.14, 0.99)
(0.07, 0.12, 0.99)
(0.09, 0.10, 0.99)
(0.08, 0.11, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.08, 0.11, 0.99)
(0.09, 0.10, 0.99)
(0.09, 0.11, 0.99)
(0.08, 0.09, 0.99)
(0.09, 0.09, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.10, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.09, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.08, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.07, 0.99)
(0.08, 0.07, 0.99)
(0.07, 0.10, 0.99)
(0.08, 0.12, 0.99)
(0.06, 0.14, 0.99)
(0.08, 0.13, 0.99)
(0.05, 0.14, 0.99)
(0.05, 0.15, 0.99)
(0.08, 0.13, 0.99)
(0.09, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.12, 0.99)
(0.08, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.11, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.08, 0.99)
(0.08, 0.05, 1.00)
(0.08, 0.00, 1.00)
(0.07, 0.03, 1.00)
(0.02, -0.03, 1.00)
(0.11, 0.02, 0.99)
(0.04, -0.05, 1.00)
(0.00, 0.01, 1.00)
(0.00, 0.01, 1.00)
(0.00, 0.03, 1.00)
(0.07, 0.09, 0.99)
(0.07, 0.10, 0.99)
(0.06, 0.12, 0.99)
(0.07, 0.12, 0.99)
(0.06, 0.13, 0.99)
(0.07, 0.15, 0.99)
(0.07, 0.13, 0.99)
(0.07, 0.16, 0.98)
(0.07, 0.14, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.13, 0.99)
(0.08, 0.13, 0.99)
(0.08, 0.12, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.08, 0.11, 0.99)
(0.07, 0.10, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.10, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.08, 0.99)
(0.08, 0.08, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.08, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.09, 0.99)
(0.07, 0.08, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.07, 1.00)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 0.99)
(0.07, 0.07, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.07, 0.06, 1.00)
(0.09, 0.06, 0.99)
(0.09, 0.06, 0.99)
(0.09, 0.07, 0.99)
(0.10, 0.06, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
(0.09, 0.07, 0.99)
